"ID заявки";"ID клиента";"ProductID";"ShopID";"Год заявки";"Дата доставки";"Дата заявки";"Дата заявки (scale)";"Дата и время доставки";"Дата и время заявки";"Доставка (точка)";"Доставка - округ";"Доставка - район";"Доставка - тип";"Клиент";"Клиент - пол";"Клиент - статус";"Клиент- дата рождения";"Магазин";"Магазин (точка)";"Магазин - адрес";"Магазин - район";"Месяц заявки";"Продукт";"Продукт - бренд";"Продукт - категория";"Продукт - подкатегория";"Тип  оплаты";"Время доставки, дн.";"Продажа, ₽";"Скидка, ₽";"Среднее число продуктов в заказе";"Средний чек";"Число заявок";"Число клиентов";"Число магазинов"
2016-296391;kkjqj;prd-39;sp-11;2020;08.10.2020;04.10.2020;01.10.2020;08.10.2020 08:37:00;04.10.2020 22:38:00;[55.833721304,37.524411801];САО;Коптево;Доставка;Венедиктов Олег Вячеславович;Мужчина;Базовый;1995-03-17;Тау;[55.86161123,37.51313997];город Москва, Флотская улица, дом 25;Головинский;01.10.2020;Весы напольные;Разумный дом;Техника для дома;Техника для красоты и здоровья;Банковская карта;3.4159722222222224;855;0;1;855;1;1;1
2016-562327;ByhVQ;prd-38;sp-15;2020;09.01.1974;14.11.2020;01.11.2020;09.01.1974 06:08:00;14.11.2020 23:57:00;[55.872364521,37.662909125];СВАО;Бабушкинский;Самовывоз;Добровольский Сергей Владимирович;Мужчина;Золотой;1994-05-30;Гамма;[55.8538123,37.631289912];город Москва, Лазоревый проезд, дом 15, строение 4;Свиблово;01.11.2020;Увлажнитель воздуха;Фабрика комфорта;Техника для дома;Техника для красоты и здоровья;Банковская карта;"";5741;0;5;5741;1;1;1
2016-372409;eLu2z;prd-27;sp-14;2020;19.12.2020;15.12.2020;01.12.2020;19.12.2020 17:32:00;15.12.2020 17:51:00;[55.781596278,37.638230962];ЦАО;Мещанский;Доставка;Юнусова Юлия Фяритовна;Женщина;Базовый;1993-04-19;Бета;[55.775754162,37.602958792];город Москва, Долгоруковская улица, дом 23, строение 1;Тверской;01.12.2020;Декоративный букет;1001 и одна нужная мелочь;Бытовые товары;Товары последней необходимости;Банковская карта;3.9868055555555557;777;0;5;777;1;1;1
2016-647142;HDjIL;prd-15;sp-18;2020;19.12.2020;09.12.2020;01.12.2020;19.12.2020 04:25:00;09.12.2020 21:53:00;[55.768568305,37.733255421];ВАО;Соколиная Гора;Доставка;Барастов Владимир Станиславович;Мужчина;Базовый;1975-09-04;Дзета;[55.730702846,37.735875581];город Москва, Рязанский проспект, дом 2, строение 24;Нижегородский;01.12.2020;Раствор для мытья полов;БиоДом;Бытовая химия;Моющие средства;Банковская карта;9.272222222222222;136;0;1;136;1;1;1
2016-301487;fWVdR;prd-21;sp-14;2020;09.01.1974;11.10.2020;01.10.2020;09.01.1974 06:08:00;11.10.2020 17:23:00;[55.784027212,37.62169692];ЦАО;Мещанский;Самовывоз;Шистеров Роман Михайлович;Мужчина;Базовый;1982-05-19;Бета;[55.775754162,37.602958792];город Москва, Долгоруковская улица, дом 23, строение 1;Тверской;01.10.2020;Зубной порошок;Кедровый лес;Бытовые товары;Косметика и здоровье;Банковская карта;"";62;0;2;62;1;1;1
2016-206436;gCm6k;prd-12;sp-16;2020;09.01.1974;24.10.2020;01.10.2020;09.01.1974 06:08:00;24.10.2020 22:34:00;[55.706615385,37.583739513];ЮЗАО;Гагаринский;Самовывоз;Кузнецов Николай Владимирович;Мужчина;Серебряный;1971-11-04;Дельта;[55.63799676,37.590931324];город Москва, микрорайон Северное Чертаново, дом 5, корпус Г;Чертаново Северное;01.10.2020;Гель для стирки белых вещей;Чистый дом;Бытовая химия;Моющие средства;Наличные;"";472;0;2;472;1;1;1
2016-490652;XqxdD;prd-21;sp-17;2020;09.01.1974;01.11.2020;01.11.2020;09.01.1974 06:08:00;01.11.2020 11:54:00;[55.651528363,37.739162905];ЮВАО;Марьино;Самовывоз;Ожерельев Владимир Борисович;Мужчина;Серебряный;1982-12-05;Эпсилон;[55.623839092,37.734113107];город Москва, Ореховый проезд, дом 17, корпус 2;Зябликово;01.11.2020;Зубной порошок;Кедровый лес;Бытовые товары;Косметика и здоровье;Наличные;"";61;0;5;61;1;1;1
2016-297505;srykL;prd-24;sp-22;2020;15.07.2020;07.07.2020;01.07.2020;15.07.2020 18:14:00;07.07.2020 23:37:00;[55.658370238,37.539119676];ЮЗАО;Обручевский;Доставка;Ашифин Константин Григорьевич;Мужчина;Серебряный;1981-08-08;Омега;[55.665135883,37.516913389];город Москва, улица Новаторов, дом 4, корпус 8;Обручевский;01.07.2020;Набор тарелок на 4 персоны, керамические;Хлеб-соль;Бытовые товары;Кухонные товары;Наличные;7.7756944444444445;2470;0;4;2470;1;1;1
2016-893888;xALMj;prd-12;sp-14;2020;09.01.1974;25.11.2020;01.11.2020;09.01.1974 06:08:00;25.11.2020 17:33:00;[55.761845514,37.575630625];ЦАО;Пресненский;Самовывоз;Синельников Роман Владимирович;Мужчина;Базовый;1971-12-23;Бета;[55.775754162,37.602958792];город Москва, Долгоруковская улица, дом 23, строение 1;Тверской;01.11.2020;Гель для стирки белых вещей;Чистый дом;Бытовая химия;Моющие средства;Наличные;"";473;0;4;473;1;1;1
2016-993896;dj6aj;prd-28;sp-14;2020;12.06.2020;04.06.2020;01.06.2020;12.06.2020 08:59:00;04.06.2020 15:14:00;[55.781279175,37.579463401];САО;Беговой;Доставка;Калашников Дмитрий Владимирович;Мужчина;Серебряный;1973-10-23;Бета;[55.775754162,37.602958792];город Москва, Долгоруковская улица, дом 23, строение 1;Тверской;01.06.2020;Лава-лампа;1001 и одна нужная мелочь;Бытовые товары;Товары последней необходимости;Банковская карта;7.739583333333333;2073;0;4;2073;1;1;1
2016-627908;hMx7U;prd-28;sp-21;2020;01.12.2020;25.11.2020;01.11.2020;01.12.2020 13:15:00;25.11.2020 11:22:00;[55.804841611,37.466410066];СЗАО;Щукино;Доставка;Ирлицин Дмитрий Борисович;Мужчина;Базовый;1991-04-26;Сигма;[55.772185093,37.488024823];город Москва, улица Демьяна Бедного, дом 8;Хорошёво-Мнёвники;01.11.2020;Лава-лампа;1001 и одна нужная мелочь;Бытовые товары;Товары последней необходимости;Наличные;6.0784722222222225;2097;0;1;2097;1;1;1
2016-087223;WNgra;prd-31;sp-20;2020;13.09.2020;08.09.2020;01.09.2020;13.09.2020 01:18:00;08.09.2020 22:26:00;[55.607874561,37.604573382];ЮАО;Чертаново Центральное;Доставка;Распутная Лариса Ивановна;Женщина;Базовый;1976-05-08;Йота;[55.591001279,37.606876613];город Москва, улица Газопровод, дом 9А;Чертаново Южное;01.09.2020;Миксер многофункциональный;Kitchen&Food;Техника для дома;Кухонная;Наличные;4.1194444444444445;2029;0;4;2029;1;1;1
2016-997129;CHSds;prd-22;sp-18;2020;09.01.1974;06.10.2020;01.10.2020;09.01.1974 06:08:00;06.10.2020 23:50:00;[55.799901956,37.821234025];ВАО;Восточное Измайлово;Самовывоз;Теперечкин Игорь Семенович;Мужчина;Базовый;1974-02-01;Дзета;[55.730702846,37.735875581];город Москва, Рязанский проспект, дом 2, строение 24;Нижегородский;01.10.2020;Зубная паста отбеливающая;Кедровый лес;Бытовые товары;Косметика и здоровье;Наличные;"";83;0;2;83;1;1;1
2016-297505;srykL;prd-35;sp-22;2020;15.07.2020;07.07.2020;01.07.2020;15.07.2020 18:14:00;07.07.2020 23:37:00;[55.658370238,37.539119676];ЮЗАО;Обручевский;Доставка;Ашифин Константин Григорьевич;Мужчина;Серебряный;1981-08-08;Омега;[55.665135883,37.516913389];город Москва, улица Новаторов, дом 4, корпус 8;Обручевский;01.07.2020;Электрический чайник;Разумный дом;Техника для дома;Кухонная;Наличные;7.7756944444444445;1236;0;4;1236;1;1;1
2016-488280;Clrra;prd-33;sp-21;2020;09.01.1974;19.12.2020;01.12.2020;09.01.1974 06:08:00;19.12.2020 11:52:00;[55.733942819,37.705754614];ЮВАО;Нижегородский;Самовывоз;Кухальская Ксения Александровна;Женщина;Серебряный;1975-07-10;Сигма;[55.772185093,37.488024823];город Москва, улица Демьяна Бедного, дом 8;Хорошёво-Мнёвники;01.12.2020;Мультиварка с 40 режимами готовки еды;Разумный дом;Техника для дома;Кухонная;Наличные;"";3302;0;2;3302;1;1;1
2016-874956;aoymb;prd-25;sp-11;2020;01.10.2020;23.09.2020;01.09.2020;01.10.2020 12:41:00;23.09.2020 22:44:00;[55.851349629,37.479892077];САО;Левобережный;Доставка;Сапрыкина Татьяна Васильевна;Женщина;Базовый;1970-05-29;Тау;[55.86161123,37.51313997];город Москва, Флотская улица, дом 25;Головинский;01.09.2020;Столовые приборы на 4 персоны;Хлеб-соль;Бытовые товары;Кухонные товары;Наличные;7.58125;3628;0;3;3628;1;1;1
2016-665153;uwuSm;prd-11;sp-14;2020;09.01.1974;17.09.2020;01.09.2020;09.01.1974 06:08:00;17.09.2020 14:33:00;[55.775441863,37.593539203];ЦАО;Тверской;Самовывоз;Жигарев Сергей Александрович;Мужчина;Базовый;1984-12-24;Бета;[55.775754162,37.602958792];город Москва, Долгоруковская улица, дом 23, строение 1;Тверской;01.09.2020;Порошок для стирки вещей органический;Чистый дом;Бытовая химия;Моющие средства;Наличные;"";625;0;2;625;1;1;1
2016-577717;ndGiI;prd-34;sp-14;2020;09.01.1974;06.06.2020;01.06.2020;09.01.1974 06:08:00;06.06.2020 23:32:00;[55.787825104,37.637126769];ЦАО;Мещанский;Самовывоз;Егоров Антон Алексеевич;Мужчина;Базовый;1980-02-28;Бета;[55.775754162,37.602958792];город Москва, Долгоруковская улица, дом 23, строение 1;Тверской;01.06.2020;Тостер;Разумный дом;Техника для дома;Кухонная;Наличные;"";1027;0;3;1027;1;1;1
2016-407665;3xF5N;prd-13;sp-21;2020;09.01.1974;24.08.2020;01.08.2020;09.01.1974 06:08:00;24.08.2020 19:42:00;[55.737365919,37.529364953];ЗАО;Дорогомилово;Самовывоз;Шахмаметьев Хафис Зарифович;Мужчина;Базовый;1979-01-04;Сигма;[55.772185093,37.488024823];город Москва, улица Демьяна Бедного, дом 8;Хорошёво-Мнёвники;01.08.2020;Гель для стирки цветных вещей;Чистый дом;Бытовая химия;Моющие средства;Наличные;"";471;0;1;471;1;1;1
2016-578250;Jlme3;prd-13;sp-23;2020;09.01.1974;09.06.2020;01.06.2020;09.01.1974 06:08:00;09.06.2020 12:11:00;[55.867865142,37.70015258];СВАО;Ярославский;Самовывоз;Ратченко Константин Анатольевич;Мужчина;Базовый;1979-10-01;Каппа;[55.7912397,37.687272174];город Москва, улица Стромынка, дом 6;Сокольники;01.06.2020;Гель для стирки цветных вещей;Чистый дом;Бытовая химия;Моющие средства;Наличные;"";476;0;5;476;1;1;1
2016-394705;pOUHY;prd-35;sp-17;2020;09.01.1974;10.06.2020;01.06.2020;09.01.1974 06:08:00;10.06.2020 19:39:00;[55.649024433,37.754737158];ЮВАО;Марьино;Самовывоз;Козицкий Алексей Анатольевич;Мужчина;Базовый;1987-04-12;Эпсилон;[55.623839092,37.734113107];город Москва, Ореховый проезд, дом 17, корпус 2;Зябликово;01.06.2020;Электрический чайник;Разумный дом;Техника для дома;Кухонная;Наличные;"";1224;0;3;1224;1;1;1
2016-346140;ff2XD;prd-30;sp-18;2020;09.01.1974;11.07.2020;01.07.2020;09.01.1974 06:08:00;11.07.2020 11:39:00;[55.706174748,37.772254456];ЮВАО;Кузьминки;Самовывоз;Ижицкий Валерий Петрович;Мужчина;Базовый;1988-01-04;Дзета;[55.730702846,37.735875581];город Москва, Рязанский проспект, дом 2, строение 24;Нижегородский;01.07.2020;Прикроватный коврик;1001 и одна нужная мелочь;Бытовые товары;Товары последней необходимости;Банковская карта;"";853;0;1;853;1;1;1
2016-392297;1hPPT;prd-38;sp-14;2020;09.01.1974;30.11.2020;01.11.2020;09.01.1974 06:08:00;30.11.2020 18:44:00;[55.768262354,37.646921012];ЦАО;Басманный;Самовывоз;Кириченко Галина Васильевна;Женщина;Базовый;1988-07-18;Бета;[55.775754162,37.602958792];город Москва, Долгоруковская улица, дом 23, строение 1;Тверской;01.11.2020;Увлажнитель воздуха;Фабрика комфорта;Техника для дома;Техника для красоты и здоровья;Наличные;"";5739;0;2;5739;1;1;1
2016-096176;hVzYQ;prd-14;sp-14;2020;08.11.2020;03.11.2020;01.11.2020;08.11.2020 18:44:00;03.11.2020 15:37:00;[55.786600341,37.604454577];СВАО;Марьина Роща;Доставка;Комлев Вячеслав Александрович;Мужчина;Базовый;1983-12-14;Бета;[55.775754162,37.602958792];город Москва, Долгоруковская улица, дом 23, строение 1;Тверской;01.11.2020;Средство для мытья посуды с ароматом лимона;Мойдодыр;Бытовая химия;Моющие средства;Наличные;5.129861111111111;353;0;3;353;1;1;1
2016-453405;Apc3K;prd-31;sp-14;2020;09.01.1974;11.04.2020;01.04.2020;09.01.1974 06:08:00;11.04.2020 16:26:00;[55.77947403,37.58516836];ЦАО;Тверской;Самовывоз;Гнездилов Александр Валентинович;Мужчина;Серебряный;1995-12-29;Бета;[55.775754162,37.602958792];город Москва, Долгоруковская улица, дом 23, строение 1;Тверской;01.04.2020;Миксер многофункциональный;Kitchen&Food;Техника для дома;Кухонная;Банковская карта;"";1022;0;3;1022;1;1;1
2016-160786;e3bp0;prd-27;sp-11;2020;09.01.1974;25.11.2020;01.11.2020;09.01.1974 06:08:00;25.11.2020 21:05:00;[55.851349629,37.479892077];САО;Левобережный;Самовывоз;Косяненко Евгений Викторович;Мужчина;Золотой;1976-02-21;Тау;[55.86161123,37.51313997];город Москва, Флотская улица, дом 25;Головинский;01.11.2020;Декоративный букет;1001 и одна нужная мелочь;Бытовые товары;Товары последней необходимости;Банковская карта;"";788;0;1;788;1;1;1
2016-652252;PxM8k;prd-15;sp-15;2020;09.01.1974;02.09.2020;01.09.2020;09.01.1974 06:08:00;02.09.2020 19:57:00;[55.86407571,37.618915237];СВАО;Отрадное;Самовывоз;Новиков Евгений Юрьевич;Мужчина;Базовый;1984-10-04;Гамма;[55.8538123,37.631289912];город Москва, Лазоревый проезд, дом 15, строение 4;Свиблово;01.09.2020;Раствор для мытья полов;БиоДом;Бытовая химия;Моющие средства;Банковская карта;"";137;0;1;137;1;1;1
2016-850996;caAdJ;prd-19;sp-15;2020;15.02.2020;11.02.2020;01.02.2020;15.02.2020 16:23:00;11.02.2020 13:57:00;[55.875605558,37.619695214];СВАО;Южное Медведково;Доставка;Дегтярев Михаил Владимирович;Мужчина;Серебряный;1980-10-24;Гамма;[55.8538123,37.631289912];город Москва, Лазоревый проезд, дом 15, строение 4;Свиблово;01.02.2020;Порошок для чистки ковриков;Городской драйв;Бытовая химия;Чистящие средства;Наличные;4.101388888888889;420;0;4;420;1;1;1
2016-960043;8do4b;prd-11;sp-21;2020;09.01.1974;25.08.2020;01.08.2020;09.01.1974 06:08:00;25.08.2020 20:41:00;[55.751424948,37.501908062];ЗАО;Филёвский Парк;Самовывоз;Янина Юлия Павловна;Женщина;Золотой;1979-05-11;Сигма;[55.772185093,37.488024823];город Москва, улица Демьяна Бедного, дом 8;Хорошёво-Мнёвники;01.08.2020;Порошок для стирки вещей органический;Чистый дом;Бытовая химия;Моющие средства;Наличные;"";631;0;1;631;1;1;1
2016-342212;3rLEu;prd-11;sp-22;2020;09.01.1974;24.04.2020;01.04.2020;09.01.1974 06:08:00;24.04.2020 13:17:00;[55.658370238,37.539119676];ЮЗАО;Обручевский;Самовывоз;Алексеев Игорь Анатольевич;Мужчина;Базовый;1982-10-16;Омега;[55.665135883,37.516913389];город Москва, улица Новаторов, дом 4, корпус 8;Обручевский;01.04.2020;Порошок для стирки вещей органический;Чистый дом;Бытовая химия;Моющие средства;Наличные;"";624;0;2;624;1;1;1
2016-562781;rw6jW;prd-39;sp-18;2020;05.12.2020;30.11.2020;01.11.2020;05.12.2020 23:16:00;30.11.2020 12:13:00;[55.72820835,37.733603754];ЮВАО;Нижегородский;Доставка;Грудин Федор Владимирович;Мужчина;Базовый;1971-02-27;Дзета;[55.730702846,37.735875581];город Москва, Рязанский проспект, дом 2, строение 24;Нижегородский;01.11.2020;Весы напольные;Разумный дом;Техника для дома;Техника для красоты и здоровья;Наличные;5.460416666666666;844;0;5;844;1;1;1
2016-289268;MECcD;prd-11;sp-14;2020;09.01.1974;20.11.2020;01.11.2020;09.01.1974 06:08:00;20.11.2020 21:00:00;[55.719715306,37.604403569];ЮАО;Донской;Самовывоз;Стеньшин Виктор Васильевич;Мужчина;Золотой;1990-09-26;Бета;[55.775754162,37.602958792];город Москва, Долгоруковская улица, дом 23, строение 1;Тверской;01.11.2020;Порошок для стирки вещей органический;Чистый дом;Бытовая химия;Моющие средства;Банковская карта;"";628;0;2;628;1;1;1
2016-851815;6NHda;prd-23;sp-16;2020;09.01.1974;23.10.2020;01.10.2020;09.01.1974 06:08:00;23.10.2020 12:44:00;[55.680263708,37.570602194];ЮЗАО;Академический;Самовывоз;Курочкин Денис Алексеевич;Мужчина;Базовый;1995-08-08;Дельта;[55.63799676,37.590931324];город Москва, микрорайон Северное Чертаново, дом 5, корпус Г;Чертаново Северное;01.10.2020;Зубная паста для чувствительных десен;Кедровый лес;Бытовые товары;Косметика и здоровье;Наличные;"";105;0;3;105;1;1;1
2016-883053;jT1BW;prd-31;sp-23;2020;23.09.2020;13.09.2020;01.09.2020;23.09.2020 07:07:00;13.09.2020 12:22:00;[55.80772969,37.71153642];ВАО;Богородское;Доставка;Симонян Кристина Владиславовна;Женщина;Базовый;1989-02-19;Каппа;[55.7912397,37.687272174];город Москва, улица Стромынка, дом 6;Сокольники;01.09.2020;Миксер многофункциональный;Kitchen&Food;Техника для дома;Кухонная;Наличные;9.78125;1014;0;5;1014;1;1;1
2016-141600;8YfdG;prd-12;sp-19;2020;22.12.2020;12.12.2020;01.12.2020;22.12.2020 04:19:00;12.12.2020 11:56:00;[55.946013929,37.348292318];САО;Молжаниновский;Доставка;Либанов Виталий Викторович;Мужчина;Базовый;1993-05-09;Эта;[55.862016728,37.422337259];город Москва, улица Вилиса Лациса, дом 23, корпус 2;Северное Тушино;01.12.2020;Гель для стирки белых вещей;Чистый дом;Бытовая химия;Моющие средства;Наличные;9.682638888888889;473;0;1;473;1;1;1
2016-224656;4RA8y;prd-38;sp-14;2020;09.01.1974;12.05.2020;01.05.2020;09.01.1974 06:08:00;12.05.2020 23:52:00;[55.716572762,37.632195066];ЮАО;Даниловский;Самовывоз;Гамза Геннадий Ефимович;Мужчина;Базовый;1975-01-05;Бета;[55.775754162,37.602958792];город Москва, Долгоруковская улица, дом 23, строение 1;Тверской;01.05.2020;Увлажнитель воздуха;Фабрика комфорта;Техника для дома;Техника для красоты и здоровья;Банковская карта;"";5733;0;3;5733;1;1;1
2016-625461;7QGBh;prd-14;sp-20;2020;09.01.1974;14.10.2020;01.10.2020;09.01.1974 06:08:00;14.10.2020 17:45:00;[55.60850305,37.595573062];ЮАО;Чертаново Центральное;Самовывоз;Дзебисова Злата Викторовна;Женщина;Серебряный;1984-08-08;Йота;[55.591001279,37.606876613];город Москва, улица Газопровод, дом 9А;Чертаново Южное;01.10.2020;Средство для мытья посуды с ароматом лимона;Мойдодыр;Бытовая химия;Моющие средства;Наличные;"";352;0;1;352;1;1;1
2016-374858;ei57c;prd-30;sp-18;2020;15.09.2020;09.09.2020;01.09.2020;15.09.2020 18:09:00;09.09.2020 15:46:00;[55.758635726,37.784274298];ВАО;Перово;Доставка;Жмайло Валерий Николаевич;Мужчина;Базовый;1992-05-08;Дзета;[55.730702846,37.735875581];город Москва, Рязанский проспект, дом 2, строение 24;Нижегородский;01.09.2020;Прикроватный коврик;1001 и одна нужная мелочь;Бытовые товары;Товары последней необходимости;Банковская карта;6.0993055555555555;847;0;5;847;1;1;1
2016-250914;VgBdc;prd-34;sp-16;2020;09.01.1974;05.11.2020;01.11.2020;09.01.1974 06:08:00;05.11.2020 19:54:00;[55.687817359,37.5681906];ЮЗАО;Академический;Самовывоз;Байбикова Анастасия Анатольевна;Женщина;Базовый;1986-07-20;Дельта;[55.63799676,37.590931324];город Москва, микрорайон Северное Чертаново, дом 5, корпус Г;Чертаново Северное;01.11.2020;Тостер;Разумный дом;Техника для дома;Кухонная;Наличные;"";1019;0;1;1019;1;1;1
2016-317317;Bme1x;prd-13;sp-18;2020;09.01.1974;02.10.2020;01.10.2020;09.01.1974 06:08:00;02.10.2020 13:14:00;[55.60850305,37.595573062];ЮАО;Чертаново Центральное;Самовывоз;Харабаджаков Сергей Викторович;Мужчина;Серебряный;1994-03-06;Дзета;[55.730702846,37.735875581];город Москва, Рязанский проспект, дом 2, строение 24;Нижегородский;01.10.2020;Гель для стирки цветных вещей;Чистый дом;Бытовая химия;Моющие средства;Банковская карта;"";471;0;3;471;1;1;1
2016-984787;UQqj3;prd-12;sp-16;2020;30.05.2020;24.05.2020;01.05.2020;30.05.2020 01:21:00;24.05.2020 14:36:00;[55.657021684,37.615487423];ЮАО;Нагорный;Доставка;Васильев Виктор Анатольевич;Мужчина;Серебряный;1995-04-26;Дельта;[55.63799676,37.590931324];город Москва, микрорайон Северное Чертаново, дом 5, корпус Г;Чертаново Северное;01.05.2020;Гель для стирки белых вещей;Чистый дом;Бытовая химия;Моющие средства;Банковская карта;5.447916666666667;481;0;3;481;1;1;1
2016-484474;UQqj3;prd-32;sp-16;2020;09.01.1974;28.10.2020;01.10.2020;09.01.1974 06:08:00;28.10.2020 18:51:00;[55.657021684,37.615487423];ЮАО;Нагорный;Самовывоз;Васильев Виктор Анатольевич;Мужчина;Серебряный;1995-04-26;Дельта;[55.63799676,37.590931324];город Москва, микрорайон Северное Чертаново, дом 5, корпус Г;Чертаново Северное;01.10.2020;Блендер;Kitchen&Food;Техника для дома;Кухонная;Банковская карта;"";1437;0;2;1437;1;1;1
2016-219261;GmPj4;prd-25;sp-11;2020;09.01.1974;05.11.2020;01.11.2020;09.01.1974 06:08:00;05.11.2020 17:30:00;[55.851349629,37.479892077];САО;Левобережный;Самовывоз;Терехин Глеб Юрьевич;Мужчина;Базовый;1988-12-16;Тау;[55.86161123,37.51313997];город Москва, Флотская улица, дом 25;Головинский;01.11.2020;Столовые приборы на 4 персоны;Хлеб-соль;Бытовые товары;Кухонные товары;Наличные;"";3666;0;4;3666;1;1;1
2016-649165;Sifdh;prd-28;sp-17;2020;13.11.2020;06.11.2020;01.11.2020;13.11.2020 00:41:00;06.11.2020 22:14:00;[55.625727131,37.721914285];ЮАО;Орехово-Борисово Северное;Доставка;Масалкин Евгений Александрович;Мужчина;Базовый;1988-08-07;Эпсилон;[55.623839092,37.734113107];город Москва, Ореховый проезд, дом 17, корпус 2;Зябликово;01.11.2020;Лава-лампа;1001 и одна нужная мелочь;Бытовые товары;Товары последней необходимости;Наличные;6.102083333333334;2060;0;3;2060;1;1;1
2016-603527;MM4QC;prd-22;sp-23;2020;09.01.1974;27.10.2020;01.10.2020;09.01.1974 06:08:00;27.10.2020 22:45:00;[55.728294931,37.667638702];ЮВАО;Южнопортовый;Самовывоз;Сизова Галина Васильевна;Женщина;Серебряный;1990-07-23;Каппа;[55.7912397,37.687272174];город Москва, улица Стромынка, дом 6;Сокольники;01.10.2020;Зубная паста отбеливающая;Кедровый лес;Бытовые товары;Косметика и здоровье;Банковская карта;"";83;0;2;83;1;1;1
2016-096120;5nVi1;prd-12;sp-20;2020;09.01.1974;25.07.2020;01.07.2020;09.01.1974 06:08:00;25.07.2020 23:36:00;[55.571692846,37.565450742];ЮЗАО;Северное Бутово;Самовывоз;Ионин Дмитрий Александрович;Мужчина;Серебряный;1979-05-11;Йота;[55.591001279,37.606876613];город Москва, улица Газопровод, дом 9А;Чертаново Южное;01.07.2020;Гель для стирки белых вещей;Чистый дом;Бытовая химия;Моющие средства;Банковская карта;"";474;0;5;474;1;1;1
2016-402633;YCh98;prd-36;sp-15;2020;09.01.1974;05.06.2020;01.06.2020;09.01.1974 06:08:00;05.06.2020 22:48:00;[55.740161585,37.420337155];ЗАО;Кунцево;Самовывоз;Быканин Кирилл Алексеевич;Мужчина;Серебряный;1990-03-15;Гамма;[55.8538123,37.631289912];город Москва, Лазоревый проезд, дом 15, строение 4;Свиблово;01.06.2020;Фен портативный;TechBeauty;Техника для дома;Техника для красоты и здоровья;Наличные;"";517;0;4;517;1;1;1
2016-936492;PI9b4;prd-39;sp-22;2020;09.09.2020;02.09.2020;01.09.2020;09.09.2020 04:10:00;02.09.2020 12:17:00;[55.836249972,37.359412777];СЗАО;Митино;Доставка;Градин Михаил Игоревич;Мужчина;Серебряный;1993-04-01;Омега;[55.665135883,37.516913389];город Москва, улица Новаторов, дом 4, корпус 8;Обручевский;01.09.2020;Весы напольные;Разумный дом;Техника для дома;Техника для красоты и здоровья;Банковская карта;6.6618055555555555;854;0;1;854;1;1;1
2016-980004;Z5qLd;prd-25;sp-21;2020;09.01.1974;01.11.2020;01.11.2020;09.01.1974 06:08:00;01.11.2020 21:15:00;[55.785949563,37.480904393];СЗАО;Хорошёво-Мнёвники;Самовывоз;Лебедев Александр Васильевич;Мужчина;Базовый;1993-01-09;Сигма;[55.772185093,37.488024823];город Москва, улица Демьяна Бедного, дом 8;Хорошёво-Мнёвники;01.11.2020;Столовые приборы на 4 персоны;Хлеб-соль;Бытовые товары;Кухонные товары;Наличные;"";3648;0;2;3648;1;1;1
2016-769756;kk5jv;prd-28;sp-15;2020;09.01.1974;04.04.2020;01.04.2020;09.01.1974 06:08:00;04.04.2020 11:51:00;[55.87180399,37.613612055];СВАО;Отрадное;Самовывоз;Потапов Борис Васильевич;Мужчина;Серебряный;1970-08-25;Гамма;[55.8538123,37.631289912];город Москва, Лазоревый проезд, дом 15, строение 4;Свиблово;01.04.2020;Лава-лампа;1001 и одна нужная мелочь;Бытовые товары;Товары последней необходимости;Наличные;"";2081;0;5;2081;1;1;1
2016-158642;tQMBI;prd-13;sp-15;2020;09.01.1974;23.12.2020;01.12.2020;09.01.1974 06:08:00;23.12.2020 15:04:00;[55.861522086,37.592455216];СВАО;Отрадное;Самовывоз;Потапов Андрей Владимирович;Мужчина;Серебряный;1976-06-14;Гамма;[55.8538123,37.631289912];город Москва, Лазоревый проезд, дом 15, строение 4;Свиблово;01.12.2020;Гель для стирки цветных вещей;Чистый дом;Бытовая химия;Моющие средства;Наличные;"";470;0;1;470;1;1;1
2016-651121;2EbqY;prd-38;sp-23;2020;09.01.1974;25.10.2020;01.10.2020;09.01.1974 06:08:00;25.10.2020 23:52:00;[55.746188237,37.683784447];ЦАО;Таганский;Самовывоз;Попов Сергей Алексеевич;Мужчина;Базовый;1980-05-22;Каппа;[55.7912397,37.687272174];город Москва, улица Стромынка, дом 6;Сокольники;01.10.2020;Увлажнитель воздуха;Фабрика комфорта;Техника для дома;Техника для красоты и здоровья;Банковская карта;"";5706;0;2;5706;1;1;1
2016-140788;LtwpC;prd-32;sp-18;2020;09.01.1974;29.08.2020;01.08.2020;09.01.1974 06:08:00;29.08.2020 17:36:00;[55.804469464,37.784955481];ВАО;Северное Измайлово;Самовывоз;Горбовской Александр Альбертович;Мужчина;Серебряный;1991-07-18;Дзета;[55.730702846,37.735875581];город Москва, Рязанский проспект, дом 2, строение 24;Нижегородский;01.08.2020;Блендер;Kitchen&Food;Техника для дома;Кухонная;Наличные;"";1450;0;4;1450;1;1;1
2016-364688;EZ2NR;prd-22;sp-15;2020;13.11.2020;09.11.2020;01.11.2020;13.11.2020 16:27:00;09.11.2020 20:16:00;[55.860250423,37.604984087];СВАО;Отрадное;Доставка;Абдулгамидов Аликбер Абдулгамидович;Мужчина;Базовый;1973-02-21;Гамма;[55.8538123,37.631289912];город Москва, Лазоревый проезд, дом 15, строение 4;Свиблово;01.11.2020;Зубная паста отбеливающая;Кедровый лес;Бытовые товары;Косметика и здоровье;Наличные;3.8409722222222222;82;0;2;82;1;1;1
